Type	Rank	Freq	Range	NormFreq	NormRange
bolıwı múmkin	163	3	1	173.461	1.000
bolıwı tiyis	163	3	1	173.461	1.000
bolǵan hám	163	3	1	173.461	1.000
bul eki	163	3	1	173.461	1.000
bul haqqında	163	3	1	173.461	1.000
bul jolda	163	3	1	173.461	1.000
da sol	163	3	1	173.461	1.000
dawam etedi	163	3	1	173.461	1.000
degen tórt	163	3	1	173.461	1.000
dep ataydı	163	3	1	173.461	1.000
dostı xusayn	163	3	1	173.461	1.000
dáslepki qosıqları	163	3	1	173.461	1.000
dúnya kartasında	163	3	1	173.461	1.000
dıqqatqa ılayıq	163	3	1	173.461	1.000
e quliyev	163	3	1	173.461	1.000
edi abay	163	3	1	173.461	1.000
edi biraq	163	3	1	173.461	1.000
eki túrli	163	3	1	173.461	1.000
etiledi eger	163	3	1	173.461	1.000
evgeniy onegin	163	3	1	173.461	1.000
evrey shańaraǵınan	163	3	1	173.461	1.000
evropa menen	163	3	1	173.461	1.000
eń belgili	163	3	1	173.461	1.000
eń iri	163	3	1	173.461	1.000
eń joqarǵı	163	3	1	173.461	1.000
eń úlken	163	3	1	173.461	1.000
farhad hám	163	3	1	173.461	1.000
folklorı title	163	3	1	173.461	1.000
haqıyqatlar sıylıǵı	163	3	1	173.461	1.000
hawa rayı	163	3	1	173.461	1.000
hesh bir	163	3	1	173.461	1.000
hesh qanday	163	3	1	173.461	1.000
hind okeanı	163	3	1	173.461	1.000
hám kóplegen	163	3	1	173.461	1.000
hám majnun	163	3	1	173.461	1.000
hám shiyrin	163	3	1	173.461	1.000
hám shiyriń	163	3	1	173.461	1.000
hám t	163	3	1	173.461	1.000
háreket etiw	163	3	1	173.461	1.000
házirgi kúnde	163	3	1	173.461	1.000
ilimiy hám	163	3	1	173.461	1.000
iran tariyxın	163	3	1	173.461	1.000
islam dini	163	3	1	173.461	1.000
islep shıǵarıw	163	3	1	173.461	1.000
iye bolǵan	163	3	1	173.461	1.000
jas waqıtlarınan	163	3	1	173.461	1.000
jawın shashın	163	3	1	173.461	1.000
jaylastırıw jolı	163	3	1	173.461	1.000
jazıp alındı	163	3	1	173.461	1.000
jazıp alınǵan	163	3	1	173.461	1.000
jer orta	163	3	1	173.461	1.000
juwap aytısları	163	3	1	173.461	1.000
jámiyet tárepinen	163	3	1	173.461	1.000
járdem beriw	163	3	1	173.461	1.000
jıl burın	163	3	1	173.461	1.000
jıllar dawamında	163	3	1	173.461	1.000
jılǵa shekem	163	3	1	173.461	1.000
karakalpak şairi	163	3	1	173.461	1.000
kaspiy teńizi	163	3	1	173.461	1.000
kavkaz hám	163	3	1	173.461	1.000
konferenciya bolıp	163	3	1	173.461	1.000
kórkem óneri	163	3	1	173.461	1.000
m f	163	3	1	173.461	1.000
menen belgilengen	163	3	1	173.461	1.000
menen birgelikte	163	3	1	173.461	1.000
menen birlikte	163	3	1	173.461	1.000
menen de	163	3	1	173.461	1.000
menen qorshalǵan	163	3	1	173.461	1.000
menen shuǵıllanadı	163	3	1	173.461	1.000
mine usı	163	3	1	173.461	1.000
miynetiń menen	163	3	1	173.461	1.000
miyras bolıp	163	3	1	173.461	1.000
mol olon	163	3	1	173.461	1.000
májbúr boladı	163	3	1	173.461	1.000
nawayı bul	163	3	1	173.461	1.000
nizamiy ganjaviy	163	3	1	173.461	1.000
nominal bahasın	163	3	1	173.461	1.000
nájip dástanı	163	3	1	173.461	1.000
násiyat qosıqları	163	3	1	173.461	1.000
ol eń	163	3	1	173.461	1.000
ol on	163	3	1	173.461	1.000
ol óz	163	3	1	173.461	1.000
orta teńizi	163	3	1	173.461	1.000
orta ásirlerde	163	3	1	173.461	1.000
orındı iyeleydi	163	3	1	173.461	1.000
parıq qıladı	163	3	1	173.461	1.000
penen aytısı	163	3	1	173.461	1.000
poetikalıq sóz	163	3	1	173.461	1.000
pútkil dúnya	163	3	1	173.461	1.000
qaraqalpaq folklorı	163	3	1	173.461	1.000
qaraqalpaq xalıq	163	3	1	173.461	1.000
qaytıs bolıwı	163	3	1	173.461	1.000
qosıqlarınıń belgili	163	3	1	173.461	1.000
qunanbay ulı	163	3	1	173.461	1.000
qunt penen	163	3	1	173.461	1.000
qurap turadı	163	3	1	173.461	1.000
qırǵa úshinshi	163	3	1	173.461	1.000
qızı meńesh	163	3	1	173.461	1.000
qızına úylenedi	163	3	1	173.461	1.000
rawajlanıwına úlken	163	3	1	173.461	1.000
rus shayırı	163	3	1	173.461	1.000
saz ásbapları	163	3	1	173.461	1.000
sebebi ol	163	3	1	173.461	1.000
sh jılı	163	3	1	173.461	1.000
shayır berdaq	163	3	1	173.461	1.000
shayır hám	163	3	1	173.461	1.000
shayır qızı	163	3	1	173.461	1.000
sheshim akcionerlerdiń	163	3	1	173.461	1.000
shınında da	163	3	1	173.461	1.000
sol jerde	163	3	1	173.461	1.000
sonıń ishinde	163	3	1	173.461	1.000
sońǵı hayalınan	163	3	1	173.461	1.000
talantlı shayır	163	3	1	173.461	1.000
tili arab	163	3	1	173.461	1.000
tiyisli ózgerisler	163	3	1	173.461	1.000
ts ga	163	3	1	173.461	1.000
tálim aladı	163	3	1	173.461	1.000
tán bolǵan	163	3	1	173.461	1.000
tárepinen qabıl	163	3	1	173.461	1.000
túrki tilinde	163	3	1	173.461	1.000
túser baha	163	3	1	173.461	1.000
u hojibekov	163	3	1	173.461	1.000
ulı xix	163	3	1	173.461	1.000
ustavlıq kapitalı	163	3	1	173.461	1.000
xalıq arasınan	163	3	1	173.461	1.000
xalıq arasında	163	3	1	173.461	1.000
xalıqlar arasında	163	3	1	173.461	1.000
yadtan shıǵarıp	163	3	1	173.461	1.000
ádebiyatı kategoriya	163	3	1	173.461	1.000
ásir baslarında	163	3	1	173.461	1.000
ásirge tiyisli	163	3	1	173.461	1.000
ázerbayjan aymaǵında	163	3	1	173.461	1.000
ázerbayjan hám	163	3	1	173.461	1.000
ázerbayjan teatrı	163	3	1	173.461	1.000
ótkennen keyin	163	3	1	173.461	1.000
ótti noyabr	163	3	1	173.461	1.000
óz miynetiń	163	3	1	173.461	1.000
ózi de	163	3	1	173.461	1.000
óziniń mazmunı	163	3	1	173.461	1.000
úsh jıl	163	3	1	173.461	1.000
úzliksiz háreket	163	3	1	173.461	1.000
a jamalov	338	2	1	115.640	1.000
a jámiy	338	2	1	115.640	1.000
a s	338	2	1	115.640	1.000
abay qunanbay	338	2	1	115.640	1.000
abdiraxman jámiy	338	2	1	115.640	1.000
adam balası	338	2	1	115.640	1.000
adam tárepinen	338	2	1	115.640	1.000
afina aralıǵın	338	2	1	115.640	1.000
afrikası bul	338	2	1	115.640	1.000
akademiyası tárepinen	338	2	1	115.640	1.000
akcionerlik jámiyettiń	338	2	1	115.640	1.000
akciya bul	338	2	1	115.640	1.000
akciyalardıń bir	338	2	1	115.640	1.000
akciyaların satıp	338	2	1	115.640	1.000
al jılı	338	2	1	115.640	1.000
al qubla	338	2	1	115.640	1.000
aladı bul	338	2	1	115.640	1.000
aldı menen	338	2	1	115.640	1.000
aldına bir	338	2	1	115.640	1.000
alpamıs dástanı	338	2	1	115.640	1.000
alpamıs dástanınıń	338	2	1	115.640	1.000
alım hám	338	2	1	115.640	1.000
alımlar bul	338	2	1	115.640	1.000
alıp barıladı	338	2	1	115.640	1.000
alıp kelgen	338	2	1	115.640	1.000
alıw satıw	338	2	1	115.640	1.000
antarktikanıń xalıqaralıq	338	2	1	115.640	1.000
aq awıllıq	338	2	1	115.640	1.000
aq pútkil	338	2	1	115.640	1.000
arablar basqınshılıǵınan	338	2	1	115.640	1.000
aral teńiziniń	338	2	1	115.640	1.000
arasınan shıqqan	338	2	1	115.640	1.000
arasında keńnen	338	2	1	115.640	1.000
ashıp beredi	338	2	1	115.640	1.000
ashıp beriwge	338	2	1	115.640	1.000
atalǵan ol	338	2	1	115.640	1.000
atap aytqanda	338	2	1	115.640	1.000
ataqqa iye	338	2	1	115.640	1.000
atlantika okeanı	338	2	1	115.640	1.000
atındaǵı nókis	338	2	1	115.640	1.000
atındaǵı ázerbayjan	338	2	1	115.640	1.000
avtor tárepinen	338	2	1	115.640	1.000
awqamı jılı	338	2	1	115.640	1.000
awqat sanaatı	338	2	1	115.640	1.000
awqatlanıp bolıp	338	2	1	115.640	1.000
awıl xojalıǵı	338	2	1	115.640	1.000
awız eki	338	2	1	115.640	1.000
ayaq oyın	338	2	1	115.640	1.000
ayrıqshı xalıqaralıq	338	2	1	115.640	1.000
aytısta ájiniyaz	338	2	1	115.640	1.000
aytıstı qız	338	2	1	115.640	1.000
aytısın jazba	338	2	1	115.640	1.000
az xızmet	338	2	1	115.640	1.000
azaytıw haqqında	338	2	1	115.640	1.000
aziya hám	338	2	1	115.640	1.000
azizbekov atındaǵı	338	2	1	115.640	1.000
bahalı qaǵazlar	338	2	1	115.640	1.000
bahalı qaǵazlardıń	338	2	1	115.640	1.000
bahasın kóbeytiw	338	2	1	115.640	1.000
baku ganja	338	2	1	115.640	1.000
baku qalası	338	2	1	115.640	1.000
balası bolǵan	338	2	1	115.640	1.000
balıq zavodı	338	2	1	115.640	1.000
baqlaw keńesi	338	2	1	115.640	1.000
bar biraq	338	2	1	115.640	1.000
bar irileri	338	2	1	115.640	1.000
basladı jılı	338	2	1	115.640	1.000
baslap aq	338	2	1	115.640	1.000
baslap jazılǵan	338	2	1	115.640	1.000
baslap tap	338	2	1	115.640	1.000
basqa web	338	2	1	115.640	1.000
basqalar da	338	2	1	115.640	1.000
basqınshılıǵınan keyin	338	2	1	115.640	1.000
batısta evropa	338	2	1	115.640	1.000
baylanısta bolǵan	338	2	1	115.640	1.000
bayqara menen	338	2	1	115.640	1.000
belgilengen eń	338	2	1	115.640	1.000
belgili bolǵan	338	2	1	115.640	1.000
belgili shayır	338	2	1	115.640	1.000
benen qaplanǵan	338	2	1	115.640	1.000
berdaq tuwralı	338	2	1	115.640	1.000
berdaq ǵarǵabay	338	2	1	115.640	1.000
beretuǵın bahalı	338	2	1	115.640	1.000
besik jırında	338	2	1	115.640	1.000
bir biri	338	2	1	115.640	1.000
bir bólegi	338	2	1	115.640	1.000
bir kletkadan	338	2	1	115.640	1.000
bir kletkalı	338	2	1	115.640	1.000
bir túrin	338	2	1	115.640	1.000
biraq ájiniyaz	338	2	1	115.640	1.000
biri hesh	338	2	1	115.640	1.000
biri menen	338	2	1	115.640	1.000
bola aladı	338	2	1	115.640	1.000
boladı berdaq	338	2	1	115.640	1.000
boladı olardıń	338	2	1	115.640	1.000
boldı a	338	2	1	115.640	1.000
boldı eramızǵa	338	2	1	115.640	1.000
boldı máselen	338	2	1	115.640	1.000
boldı áyyemgi	338	2	1	115.640	1.000
bolsa iskender	338	2	1	115.640	1.000
bolsa onda	338	2	1	115.640	1.000
bolsada abay	338	2	1	115.640	1.000
bolsada ol	338	2	1	115.640	1.000
bolıp atırǵan	338	2	1	115.640	1.000
bolıp bul	338	2	1	115.640	1.000
bolıp olar	338	2	1	115.640	1.000
bolıp turǵan	338	2	1	115.640	1.000
bolıwı kerek	338	2	1	115.640	1.000
bolıwınıń sebebi	338	2	1	115.640	1.000
bolǵan anası	338	2	1	115.640	1.000
bolǵan biraq	338	2	1	115.640	1.000
bolǵan bul	338	2	1	115.640	1.000
bolǵan dep	338	2	1	115.640	1.000
bolǵan jılı	338	2	1	115.640	1.000
bolǵan kóplegen	338	2	1	115.640	1.000
bolǵan onıń	338	2	1	115.640	1.000
bolǵan shayırdıń	338	2	1	115.640	1.000
bolǵan sonıń	338	2	1	115.640	1.000
bolǵan ıqlası	338	2	1	115.640	1.000
boris godunov	338	2	1	115.640	1.000
bozataw poeması	338	2	1	115.640	1.000
bul aytısta	338	2	1	115.640	1.000
bul baǵdarda	338	2	1	115.640	1.000
bul bólim	338	2	1	115.640	1.000
bul jaǵdaylar	338	2	1	115.640	1.000
bul jerde	338	2	1	115.640	1.000
bul jerlerde	338	2	1	115.640	1.000
bul nusqa	338	2	1	115.640	1.000
bul shıǵarma	338	2	1	115.640	1.000
bul tiri	338	2	1	115.640	1.000
bul túrdegi	338	2	1	115.640	1.000
bulshıq et	338	2	1	115.640	1.000
bunnan basqa	338	2	1	115.640	1.000
bunnan da	338	2	1	115.640	1.000
buxgalteriya esabında	338	2	1	115.640	1.000
da bar	338	2	1	115.640	1.000
da eki	338	2	1	115.640	1.000
da jazǵan	338	2	1	115.640	1.000
da joqarı	338	2	1	115.640	1.000
da onıń	338	2	1	115.640	1.000
da tap	338	2	1	115.640	1.000
danıshpanlıq penen	338	2	1	115.640	1.000
dawamında qazaqstanda	338	2	1	115.640	1.000
de onıń	338	2	1	115.640	1.000
degen bir	338	2	1	115.640	1.000
degen eki	338	2	1	115.640	1.000
degen jerde	338	2	1	115.640	1.000
degen jerlerde	338	2	1	115.640	1.000
degen kisi	338	2	1	115.640	1.000
degen kisiniń	338	2	1	115.640	1.000
degen qosıǵında	338	2	1	115.640	1.000
degen úsh	338	2	1	115.640	1.000
degende ne	338	2	1	115.640	1.000
dekabr túrkiyanıń	338	2	1	115.640	1.000
den artıq	338	2	1	115.640	1.000
dep at	338	2	1	115.640	1.000
dep atalatuǵın	338	2	1	115.640	1.000
dep ataldı	338	2	1	115.640	1.000
dep aytıwı	338	2	1	115.640	1.000
dep biledi	338	2	1	115.640	1.000
dep jazadı	338	2	1	115.640	1.000
dep jazıp	338	2	1	115.640	1.000
dep táriyplenedi	338	2	1	115.640	1.000
deregi bolıp	338	2	1	115.640	1.000
din iyeleriniń	338	2	1	115.640	1.000
duelde óltiriledi	338	2	1	115.640	1.000
dáramattıń bir	338	2	1	115.640	1.000
dárejesi antarktikanıń	338	2	1	115.640	1.000
dárya jıldan	338	2	1	115.640	1.000
dárya suwınıń	338	2	1	115.640	1.000
dástanı alpamıs	338	2	1	115.640	1.000
dástanınıń tiykarǵı	338	2	1	115.640	1.000
dáwirdiń eń	338	2	1	115.640	1.000
dóretiwshiligine arnalǵan	338	2	1	115.640	1.000
dóretpeleriniń belgili	338	2	1	115.640	1.000
dúnya júzi	338	2	1	115.640	1.000
dúnya júzlik	338	2	1	115.640	1.000
dúzildi jılı	338	2	1	115.640	1.000
edi nawayı	338	2	1	115.640	1.000
edi sonıń	338	2	1	115.640	1.000
eger usınday	338	2	1	115.640	1.000
ekenin ańlatadı	338	2	1	115.640	1.000
ekenligin aytadı	338	2	1	115.640	1.000
eki shayırdıń	338	2	1	115.640	1.000
ekinshi yarımında	338	2	1	115.640	1.000
ellerim bardı	338	2	1	115.640	1.000
elmurat axun	338	2	1	115.640	1.000
emes aktivler	338	2	1	115.640	1.000
emes qubla	338	2	1	115.640	1.000
emes shaxnamanıń	338	2	1	115.640	1.000
ertekleri menen	338	2	1	115.640	1.000
esap obektlerin	338	2	1	115.640	1.000
esaplanadı title	338	2	1	115.640	1.000
ese summasın	338	2	1	115.640	1.000
etip abay	338	2	1	115.640	1.000
etip nawayı	338	2	1	115.640	1.000
evropada jaylasqan	338	2	1	115.640	1.000
eń aldı	338	2	1	115.640	1.000
eń aqırında	338	2	1	115.640	1.000
eń az	338	2	1	115.640	1.000
eń baslı	338	2	1	115.640	1.000
eń biyik	338	2	1	115.640	1.000
eń dáslep	338	2	1	115.640	1.000
eń dáslepki	338	2	1	115.640	1.000
eń jaqın	338	2	1	115.640	1.000
eń áyyemgi	338	2	1	115.640	1.000
f amirovtıń	338	2	1	115.640	1.000
f axundov	338	2	1	115.640	1.000
filosofiyası áyyemgi	338	2	1	115.640	1.000
finans qarjı	338	2	1	115.640	1.000
fizuliy shıǵarmaları	338	2	1	115.640	1.000
folklordaǵı shayırlar	338	2	1	115.640	1.000
fondın kóbeytiw	338	2	1	115.640	1.000
franklin d	338	2	1	115.640	1.000
genjeqarabek eline	338	2	1	115.640	1.000
haqqında hám	338	2	1	115.640	1.000
haqıyqıy ózine	338	2	1	115.640	1.000
has hájibten	338	2	1	115.640	1.000
hind iran	338	2	1	115.640	1.000
hindistan filosofiyası	338	2	1	115.640	1.000
hojibekov atındaǵı	338	2	1	115.640	1.000
hojibekovtıń arshin	338	2	1	115.640	1.000
hám adam	338	2	1	115.640	1.000
hám baspa	338	2	1	115.640	1.000
hám de	338	2	1	115.640	1.000
hám din	338	2	1	115.640	1.000
hám dóretiwshiligine	338	2	1	115.640	1.000
hám eń	338	2	1	115.640	1.000
hám gaz	338	2	1	115.640	1.000
hám iran	338	2	1	115.640	1.000
hám jazǵan	338	2	1	115.640	1.000
hám jer	338	2	1	115.640	1.000
hám jılı	338	2	1	115.640	1.000
hám m	338	2	1	115.640	1.000
hám májnúń	338	2	1	115.640	1.000
hám olar	338	2	1	115.640	1.000
hám onı	338	2	1	115.640	1.000
hám orta	338	2	1	115.640	1.000
hám qızıl	338	2	1	115.640	1.000
hám súwret	338	2	1	115.640	1.000
hám taǵı	338	2	1	115.640	1.000
hám ádebiyat	338	2	1	115.640	1.000
hám ózbek	338	2	1	115.640	1.000
hár túrli	338	2	1	115.640	1.000
hár xamsada	338	2	1	115.640	1.000
háreket etedi	338	2	1	115.640	1.000
háribi menen	338	2	1	115.640	1.000
háyiw háyiw	338	2	1	115.640	1.000
házirgi arab	338	2	1	115.640	1.000
húrmet penen	338	2	1	115.640	1.000
ibarat bul	338	2	1	115.640	1.000
ilim hám	338	2	1	115.640	1.000
ilimiy teoriyalar	338	2	1	115.640	1.000
ilimiy teoriyalıq	338	2	1	115.640	1.000
ilimler akademiyası	338	2	1	115.640	1.000
iran hám	338	2	1	115.640	1.000
iskender zulqarnayın	338	2	1	115.640	1.000
islep shıǵaradı	338	2	1	115.640	1.000
iye bolıp	338	2	1	115.640	1.000
izbe izlik	338	2	1	115.640	1.000
i̇men mektebi	338	2	1	115.640	1.000
janrı retinde	338	2	1	115.640	1.000
jaqsı adam	338	2	1	115.640	1.000
jaqsı kórip	338	2	1	115.640	1.000
jasap dóretiwshilik	338	2	1	115.640	1.000
jasaydı dep	338	2	1	115.640	1.000
jasaydı ol	338	2	1	115.640	1.000
jaslarınan aq	338	2	1	115.640	1.000
jaslarınan baslap	338	2	1	115.640	1.000
jaslıǵınan baslap	338	2	1	115.640	1.000
jasına kelgende	338	2	1	115.640	1.000
jasınan baslap	338	2	1	115.640	1.000
jasında qaytıs	338	2	1	115.640	1.000
jaylasqan azia	338	2	1	115.640	1.000
jaylasqan bolıp	338	2	1	115.640	1.000
jaza baslaǵan	338	2	1	115.640	1.000
jazadı bul	338	2	1	115.640	1.000
jazılǵan qosıqları	338	2	1	115.640	1.000
jazılǵan ájiniyaz	338	2	1	115.640	1.000
jazıp alınıp	338	2	1	115.640	1.000
jazıp qaldırǵan	338	2	1	115.640	1.000
jazıwshılar awqamı	338	2	1	115.640	1.000
jazǵan onıń	338	2	1	115.640	1.000
jańa imaratı	338	2	1	115.640	1.000
jaǵasında aqqala	338	2	1	115.640	1.000
jep bolıp	338	2	1	115.640	1.000
jer astı	338	2	1	115.640	1.000
jer dep	338	2	1	115.640	1.000
jerde eń	338	2	1	115.640	1.000
jerde júdá	338	2	1	115.640	1.000
jeti ıqlım	338	2	1	115.640	1.000
jumısqa kiredi	338	2	1	115.640	1.000
