Type	Rank	Freq	Range	NormFreq	NormRange
basıp shıǵarılǵan karakalpak şairi	20	2	1	115.654	1.000
belgilengen eń az xızmet	20	2	1	115.654	1.000
bolıp ótti dekabr túrkiyanıń	20	2	1	115.654	1.000
bolıp ótti noyabr nókis	20	2	1	115.654	1.000
dizimge alınǵan sánege nızamshılıq	20	2	1	115.654	1.000
dóretpeleriniń belgili bir janrı	20	2	1	115.654	1.000
edi sonıń ushın da	20	2	1	115.654	1.000
eń az xızmet haqınıń	20	2	1	115.654	1.000
hind okeanı menen qorshalǵan	20	2	1	115.654	1.000
hojibekovtıń arshin mol olon	20	2	1	115.654	1.000
ilimiy teoriyalıq konferenciya bolıp	20	2	1	115.654	1.000
iran tariyxın óz ishine	20	2	1	115.654	1.000
jaylastırıw jolı menen jámiyettiń	20	2	1	115.654	1.000
jámiyet dizimge alınǵan sánege	20	2	1	115.654	1.000
jámiyettiń ustavlıq fondın kóbeytiw	20	2	1	115.654	1.000
jámiyettiń ustavlıq kapitalı akciyalardıń	20	2	1	115.654	1.000
júzbe júz turıp yadtan	20	2	1	115.654	1.000
kapitalı akciyalardıń nominal bahasın	20	2	1	115.654	1.000
karakalpak şairi äjiniyaz kosıbay	20	2	1	115.654	1.000
keńesi tárepinen qabıl etiledi	20	2	1	115.654	1.000
kirgiziw haqqında sheshim akcionerlerdiń	20	2	1	115.654	1.000
kóp jıllar dawamında qazaqstanda	20	2	1	115.654	1.000
kórkem awızeki dóretpeleriniń belgili	20	2	1	115.654	1.000
kórkem sóz sheberleriniń biri	20	2	1	115.654	1.000
menen jámiyettiń ustavlıq fondın	20	2	1	115.654	1.000
muwsa ulı xix ásirdiń	20	2	1	115.654	1.000
nókis mámleketlik pedagogikalıq institutında	20	2	1	115.654	1.000
nızamshılıq penen belgilengen eń	20	2	1	115.654	1.000
onıń eń dáslepki qosıqları	20	2	1	115.654	1.000
onıń ónimdarlıǵı ts ge	20	2	1	115.654	1.000
penen belgilengen eń az	20	2	1	115.654	1.000
qaraqalpaq kórkem awızeki dóretpeleriniń	20	2	1	115.654	1.000
qosıqlarınıń belgili bir túrin	20	2	1	115.654	1.000
qurallar materiallıq emes aktivler	20	2	1	115.654	1.000
qırǵa úshinshi mártebe barǵanında	20	2	1	115.654	1.000
qız meńesh penen aytısı	20	2	1	115.654	1.000
shayır qızı meńesh penen	20	2	1	115.654	1.000
shayırı ábdiraxman jámiy hám	20	2	1	115.654	1.000
shıǵarılǵan karakalpak şairi äjiniyaz	20	2	1	115.654	1.000
sol waqıttaǵı qaraxaniyler mámleketiniń	20	2	1	115.654	1.000
sonıń ushın da onıń	20	2	1	115.654	1.000
sánege nızamshılıq penen belgilengen	20	2	1	115.654	1.000
tariyxın óz ishine aladı	20	2	1	115.654	1.000
tariyxında ǵana emes al	20	2	1	115.654	1.000
teoriyalıq konferenciya bolıp ótti	20	2	1	115.654	1.000
tiyisli ózgerisler kirgiziw haqqında	20	2	1	115.654	1.000
tiykarǵı qurallar materiallıq emes	20	2	1	115.654	1.000
tárepinen qabıl etiledi eger	20	2	1	115.654	1.000
túrkiy akademiyası tárepinen túrk	20	2	1	115.654	1.000
u hojibekovtıń arshin mol	20	2	1	115.654	1.000
ulı xix ásirdiń aqırı	20	2	1	115.654	1.000
ushın jámiyet dizimge alınǵan	20	2	1	115.654	1.000
ustavlıq kapitalı akciyalardıń nominal	20	2	1	115.654	1.000
ustavına tiyisli ózgerisler kirgiziw	20	2	1	115.654	1.000
xalıq saz ásbapları orkestri	20	2	1	115.654	1.000
xalıqaralıq huqıqıy dárejesi antarktikanıń	20	2	1	115.654	1.000
ájiniyaz atındaǵı nókis mámleketlik	20	2	1	115.654	1.000
ázerbayjan hám ózbek xalıqları	20	2	1	115.654	1.000
ómiri hám dóretiwshiligine arnalǵan	20	2	1	115.654	1.000
ótti dekabr túrkiyanıń istanbul	20	2	1	115.654	1.000
óz akciyaların satıp alıw	20	2	1	115.654	1.000
ózgerisler kirgiziw haqqında sheshim	20	2	1	115.654	1.000
şairi äjiniyaz kosıbay ulı	20	2	1	115.654	1.000
a alekperov o qurbonov	97	1	1	57.827	1.000
a axverdiyevtiń talanǵan uya	97	1	1	57.827	1.000
a azimzada hám basqa	97	1	1	57.827	1.000
a boboev júrek júrek	97	1	1	57.827	1.000
a dabılov hám k	97	1	1	57.827	1.000
a dadashev hám m	97	1	1	57.827	1.000
a iskandarov a alekperov	97	1	1	57.827	1.000
a jamalov n kamalov	97	1	1	57.827	1.000
a jamalov tárepinen jazıp	97	1	1	57.827	1.000
a jámiy jılı xiratta	97	1	1	57.827	1.000
a jámiy álisher nawayınıń	97	1	1	57.827	1.000
a jámiydiń kórkem dóretiwshiligi	97	1	1	57.827	1.000
a nikolaevtiń basshılıǵında aral	97	1	1	57.827	1.000
a ostrovskiydiń gúldirmama hám	97	1	1	57.827	1.000
a r kuliev moviy	97	1	1	57.827	1.000
a s pushkin hám	97	1	1	57.827	1.000
a s pushkinniń evgeniy	97	1	1	57.827	1.000
a useynov m azizbekov	97	1	1	57.827	1.000
a v shchusev nizamiy	97	1	1	57.827	1.000
a valiev m rahim	97	1	1	57.827	1.000
abadanlıǵı ushın xızmet etken	97	1	1	57.827	1.000
abay bul eki sınaqtanda	97	1	1	57.827	1.000
abay bunnan tısqarı qara	97	1	1	57.827	1.000
abay ibrayım qunanbay ulı	97	1	1	57.827	1.000
abay ilimniń paydasın keshirek	97	1	1	57.827	1.000
abay jasaǵan zaman qazaq	97	1	1	57.827	1.000
abay jaslıǵınan baslap eski	97	1	1	57.827	1.000
abay menen ákesi qunanbay	97	1	1	57.827	1.000
abay minezindegi ádillik tuwrılıq	97	1	1	57.827	1.000
abay qazaq ádebiy tiliniń	97	1	1	57.827	1.000
abay qunanbay ulı abay	97	1	1	57.827	1.000
abay qunanbay ulı xix	97	1	1	57.827	1.000
abay rayonınıń shıńǵıs tawında	97	1	1	57.827	1.000
abay sıyaqlı talantlı shayırlar	97	1	1	57.827	1.000
abay túrk tilles xalıqlar	97	1	1	57.827	1.000
abay xix ásirde kózge	97	1	1	57.827	1.000
abaydıń bul qosıqtı jazıwında	97	1	1	57.827	1.000
abaydıń jaslıǵınan baslap shayır	97	1	1	57.827	1.000
abaylı bolıwı kerek edi	97	1	1	57.827	1.000
abbas i jıllarda húkimranlıq	97	1	1	57.827	1.000
abbashuq valexoshuq sıyaqlı baqsılar	97	1	1	57.827	1.000
abbos suxravardiy abu abdulloh	97	1	1	57.827	1.000
abdiraxman jámiy abdiraxman jámiy	97	1	1	57.827	1.000
abdiraxman jámiy tájik xalqınıń	97	1	1	57.827	1.000
abduda dep ataǵan soń	97	1	1	57.827	1.000
abdulloh xoqoniy sufiy shayx	97	1	1	57.827	1.000
abdulqodir maroǵiy derlik barlıq	97	1	1	57.827	1.000
abdurahmonov e rizoquliev músinshilerden	97	1	1	57.827	1.000
abduraxmanov dıqqatqa ılayıq házirgi	97	1	1	57.827	1.000
abiddin juraniy degen kisi	97	1	1	57.827	1.000
abissiniyalı efiopiyalı bolǵan hám	97	1	1	57.827	1.000
abram gannibal istanbulda abissiniyalı	97	1	1	57.827	1.000
abrar jaqsı adamlardıń hawlıǵısıwları	97	1	1	57.827	1.000
abrar nawayının óz zamanına	97	1	1	57.827	1.000
absolyut bolıp tabıladı biliw	97	1	1	57.827	1.000
absolyut jetsikenlik óz kórinisin	97	1	1	57.827	1.000
absolyutlıq ruwxıy mánisin túsinik	97	1	1	57.827	1.000
abu abbos suxravardiy abu	97	1	1	57.827	1.000
abu abdulloh xoqoniy sufiy	97	1	1	57.827	1.000
abıray ataqqa iye boldı	97	1	1	57.827	1.000
abıroylı dep qabaq etip	97	1	1	57.827	1.000
adam balası atamasındaǵı ilimiy	97	1	1	57.827	1.000
adam balası dep baslanatuǵın	97	1	1	57.827	1.000
adam balasına bul ómirdi	97	1	1	57.827	1.000
adam biologiyası antropologiya primatologiya	97	1	1	57.827	1.000
adam bolsa da meńesh	97	1	1	57.827	1.000
adam bolıp ósiwi ana	97	1	1	57.827	1.000
adam bolǵan son ay	97	1	1	57.827	1.000
adam bolǵan sonlıqtan da	97	1	1	57.827	1.000
adam bolǵan sonıń ushın	97	1	1	57.827	1.000
adam bolǵan tınettiń ákesi	97	1	1	57.827	1.000
adam dep táriyplenedi shayırdıń	97	1	1	57.827	1.000
adam edi berdaqtıń betine	97	1	1	57.827	1.000
adam ekenligin tanıstırıw zárúr	97	1	1	57.827	1.000
adam haqqındaǵı qıtay filosofiyasında	97	1	1	57.827	1.000
adam hám haywanlarda awır	97	1	1	57.827	1.000
adam jamannıń kórkin ashar	97	1	1	57.827	1.000
adam jasaydı qubla polyuste	97	1	1	57.827	1.000
adam jasaǵan ol jılday	97	1	1	57.827	1.000
adam jıl derekler kategoriya	97	1	1	57.827	1.000
adam materiallıq elementlerden turadı	97	1	1	57.827	1.000
adam menen teńizdi sayaxat	97	1	1	57.827	1.000
adam minezine tán unamsız	97	1	1	57.827	1.000
adam onıń shıǵarmalarınıń bir	97	1	1	57.827	1.000
adam paytaxtı baku qalası	97	1	1	57.827	1.000
adam qoshqarbaydıń nayzabay degen	97	1	1	57.827	1.000
adam tiyisli organ súyek	97	1	1	57.827	1.000
adam turadı biraq olar	97	1	1	57.827	1.000
adam turmısı qayta dóreliwlerdiń	97	1	1	57.827	1.000
adam tárepinen kóshirilgen bul	97	1	1	57.827	1.000
adam tárepinen oqılmaydı bunıń	97	1	1	57.827	1.000
adam óz sózi hám	97	1	1	57.827	1.000
adam ǵana putkil dúnyaǵa	97	1	1	57.827	1.000
adamdı einstein dep ataymız	97	1	1	57.827	1.000
adamdı kóp tıńlap az	97	1	1	57.827	1.000
adamdı onıń sotsiallıq funktsiyası	97	1	1	57.827	1.000
adamdı usı funktsiyanı tiyislik	97	1	1	57.827	1.000
adamdı ózine tartarlıq kisi	97	1	1	57.827	1.000
adamgershilik sezimleri sáwlelendirilgen xalıq	97	1	1	57.827	1.000
adamgershilikke doslıqqa sabırlıqqa miynet	97	1	1	57.827	1.000
adamlar biologlar dep ataladı	97	1	1	57.827	1.000
adamlar bolıp ótkenlikleri haqqında	97	1	1	57.827	1.000
adamlar haywanlar ańshılıq hám	97	1	1	57.827	1.000
adamlar hámde jeke advokatlıq	97	1	1	57.827	1.000
adamlar kóship ketken jılı	97	1	1	57.827	1.000
adamlar onı aqılsız esaplaǵan	97	1	1	57.827	1.000
adamlar onı ayteke dep	97	1	1	57.827	1.000
adamlar onı molla muwsa	97	1	1	57.827	1.000
adamlar shayır shıǵarmaların analiz	97	1	1	57.827	1.000
adamlar tek ǵana hawa	97	1	1	57.827	1.000
adamlar toparı kóbeyip ketken	97	1	1	57.827	1.000
adamlar tárepinen quyashtıń nurları	97	1	1	57.827	1.000
adamlar ózinde hám átirapındaǵı	97	1	1	57.827	1.000
adamlar ǵana aytadı bet	97	1	1	57.827	1.000
adamlarda úlken kúsh bolǵanlıǵın	97	1	1	57.827	1.000
adamlardı da ashtan óltiredi	97	1	1	57.827	1.000
adamlardı qattı sınǵa aladı	97	1	1	57.827	1.000
adamlardı xoja dep ataydı	97	1	1	57.827	1.000
adamlardıń baxalı hám qızıq	97	1	1	57.827	1.000
adamlardıń hawlıǵısıwları láyli hám	97	1	1	57.827	1.000
adamlardıń haywanlardıń ósimliklerdiń denelerin	97	1	1	57.827	1.000
adamlardıń hár qıylı ekspeditsiyalar	97	1	1	57.827	1.000
adamlardıń kimligin aytıp olardıń	97	1	1	57.827	1.000
adamlardıń kópshiligi jarlı hám	97	1	1	57.827	1.000
adamlardıń kózine túsedi biraq	97	1	1	57.827	1.000
adamlardıń pikirinshe ádebiyat basqa	97	1	1	57.827	1.000
adamlardıń ǵárezsiz kásiplik birlespelerin	97	1	1	57.827	1.000
adamları arqalı da tarala	97	1	1	57.827	1.000
adamları bolǵanlıǵı belgili anası	97	1	1	57.827	1.000
adamları menen tanıstırıwǵa adamlardıń	97	1	1	57.827	1.000
adamları parsı tájik ádebiyatınıń	97	1	1	57.827	1.000
adamları sayd xasan ardasher	97	1	1	57.827	1.000
adamları sol awıldıń belgili	97	1	1	57.827	1.000
adamların sol dáwir jámiyetinde	97	1	1	57.827	1.000
adamlarınıń biri edi ol	97	1	1	57.827	1.000
adamlarǵa tanıs sózlerdi qosıp	97	1	1	57.827	1.000
adamlarǵa ustaz boldı onıń	97	1	1	57.827	1.000
adamnan qash óz miynetiń	97	1	1	57.827	1.000
adamnıń azap shegiwine alıp	97	1	1	57.827	1.000
adamnıń insanlıǵınıń mánisi eki	97	1	1	57.827	1.000
adamnıń jaqsı yamasa jaman	97	1	1	57.827	1.000
adamnıń jasawı qıynalıwshılıq penen	97	1	1	57.827	1.000
adamnıń jámiyettegi ornı haqqında	97	1	1	57.827	1.000
adamnıń minez qulqı is	97	1	1	57.827	1.000
adamnıń xorıma kózge ilinbes	97	1	1	57.827	1.000
adamnıń zeynine tiyetuǵın qatarlar	97	1	1	57.827	1.000
adamxor patshanı kóteriliske shıǵıp	97	1	1	57.827	1.000
adamzat civilizaciyasınıń bir bólegi	97	1	1	57.827	1.000
adamzat jasaǵan eń birinshi	97	1	1	57.827	1.000
adamzattıń eń jaqsı qásiyetlerine	97	1	1	57.827	1.000
adamzattıń ulıwma mápleri jolında	97	1	1	57.827	1.000
adamı hám shayırı bolsa	97	1	1	57.827	1.000
adamǵa kórkem obraz jasaladı	97	1	1	57.827	1.000
adamǵa qısqarıp al qazaqstannıń	97	1	1	57.827	1.000
adeb ikramlilik eńdastlebki orındı	97	1	1	57.827	1.000
adeb túrli sóz ketedi	97	1	1	57.827	1.000
adjiva menen djivanı baylanıstırıwshı	97	1	1	57.827	1.000
adjiva ruwxıy djiva adjiva	97	1	1	57.827	1.000
advokatlar arza isenim qaǵaz	97	1	1	57.827	1.000
advokatlar jınayat processinde qorǵawshı	97	1	1	57.827	1.000
advokatlar kollegiyasınıń xızmetkerleri puqaralarǵa	97	1	1	57.827	1.000
advokatlıq xızmeti menen shuǵıllanıwshı	97	1	1	57.827	1.000
advokatlıq ámeliyat penen shuǵıllanıwshı	97	1	1	57.827	1.000
advokatura advokatura huqıqıy institut	97	1	1	57.827	1.000
advokatura funkciyaları advokaturanıń atqaratuǵın	97	1	1	57.827	1.000
advokatura huqıqıy institut bolıp	97	1	1	57.827	1.000
advokaturanıń atqaratuǵın funkciyaları advokatlar	97	1	1	57.827	1.000
advokaturanıń tiykarǵı maqsetleri mekemelerge	97	1	1	57.827	1.000
afina aralıǵın juwırıp ótip	97	1	1	57.827	1.000
afina aralıǵın ólshep bul	97	1	1	57.827	1.000
afinalılar persidler menen urısta	97	1	1	57.827	1.000
afinaǵa jetip kelip biz	97	1	1	57.827	1.000
afinaǵa juwırıp barıp jeńiske	97	1	1	57.827	1.000
afrika afriká úlkenligi boyınsha	97	1	1	57.827	1.000
afrika arqa afrikaday keń	97	1	1	57.827	1.000
afrika dúnya kartasında afrika	97	1	1	57.827	1.000
afrika haywanlarǵa bay ol	97	1	1	57.827	1.000
afrika jańalıqları herald tribune	97	1	1	57.827	1.000
afrika kontinentiniń qublası haqqında	97	1	1	57.827	1.000
afrika kól hám dáryalarında	97	1	1	57.827	1.000
afrika mámleketi haqqında emes	97	1	1	57.827	1.000
afrikada arqaǵa qaraǵanda jawın	97	1	1	57.827	1.000
afrikada bir neshe tropikalıq	97	1	1	57.827	1.000
afrikada jasawshı adamlardıń kópshiligi	97	1	1	57.827	1.000
afrikaday keń emes qubla	97	1	1	57.827	1.000
afrikalıq túbirge iye bolǵan	97	1	1	57.827	1.000
afrikanıń arqa tárepinde jaylasqan	97	1	1	57.827	1.000
afrikanıń jıllı bolıwınıń sebebi	97	1	1	57.827	1.000
afrikanıń kópshilik bólimin saxara	97	1	1	57.827	1.000
afrikası bul bólim afrika	97	1	1	57.827	1.000
afrikası bul súwret fevral	97	1	1	57.827	1.000
afrikasında dárya yamasa basqa	97	1	1	57.827	1.000
afriká úlkenligi boyınsha ekinshi	97	1	1	57.827	1.000
agentligi assa iroda turan	97	1	1	57.827	1.000
agentlikleri bar ádebiyatı ádebiyatı	97	1	1	57.827	1.000
agrar mámleket neft temir	97	1	1	57.827	1.000
ahamaniyler qolına ótti bul	97	1	1	57.827	1.000
ahmad bahmanyor xatib tabriziy	97	1	1	57.827	1.000
ajamiy da qurıldı ásirlerde	97	1	1	57.827	1.000
ajapası rus tiline qaraǵanda	97	1	1	57.827	1.000
ajayıbat dep esaplagan jaǵdayda	97	1	1	57.827	1.000
ajayıbat joq degen jaǵdayda	97	1	1	57.827	1.000
ajaǵası hám ajapası rus	97	1	1	57.827	1.000
ajiniyaz kosıbayulı hayatı şiirleri	97	1	1	57.827	1.000
ajıraladı ertede adamzat civilizaciyasınıń	97	1	1	57.827	1.000
ajıraladı qıtayda filosofiya urısıwshı	97	1	1	57.827	1.000
ajıratıp turadı bul shegara	97	1	1	57.827	1.000
akademik l berg teńizdiń	97	1	1	57.827	1.000
akademiyası isleydi kitapxanaları respublikalıq	97	1	1	57.827	1.000
akademiyası kitapxanası hám basqa	97	1	1	57.827	1.000
akademiyası muzıka bilimlendiriwi muzıka	97	1	1	57.827	1.000
akademiyası qaraqalpaqstan filialınıń qoljazbalar	97	1	1	57.827	1.000
akademiyası tárepinen túrk hám	97	1	1	57.827	1.000
akademiyası tárepinen túrk tilinde	97	1	1	57.827	1.000
akcioner akciyalardı jámiyetke qaytarmaw	97	1	1	57.827	1.000
akcioner kapitalı bólinbeydi akciyalar	97	1	1	57.827	1.000
akcionerdiń úlesi kapitaldıń múlktiń	97	1	1	57.827	1.000
akcionerler tárepinen satıp alıngan	97	1	1	57.827	1.000
akcionerler ushın qosımsha akciyalardı	97	1	1	57.827	1.000
akcionerlerdiń máplerin qorǵaw shártlerin	97	1	1	57.827	1.000
akcionerlerdiń ulıwma jıynalısı fondtı	97	1	1	57.827	1.000
akcionerlerdiń ulıwma jıynalısında dawıslardıń	97	1	1	57.827	1.000
akcionerlerdiń ulıwma jıynalısında qabıl	97	1	1	57.827	1.000
akcionerlerdiń ulıwma jıynalısınıń sheshimine	97	1	1	57.827	1.000
akcionerleri aldında qarız minnetlemesi	97	1	1	57.827	1.000
akcionerleskende yaǵnıy ustavlıq kapitaldı	97	1	1	57.827	1.000
akcionerlik jámiyet ashıq túrdegi	97	1	1	57.827	1.000
akcionerlik jámiyet nege iye	97	1	1	57.827	1.000
akcionerlik jámiyet ushın jámiyet	97	1	1	57.827	1.000
akcionerlik jámiyetke aynaldırǵanda hám	97	1	1	57.827	1.000
akcionerlik jámiyetler ushın jámiyet	97	1	1	57.827	1.000
akcionerlik jámiyetti shólkemlestirgende mámleketlik	97	1	1	57.827	1.000
akcionerlik jámiyettiń akcionerleri aldında	97	1	1	57.827	1.000
akcionerlik jámiyettiń ustavlıq kapitalına	97	1	1	57.827	1.000
akciya akcionerlik jámiyettiń akcionerleri	97	1	1	57.827	1.000
akciya akciya bul háreket	97	1	1	57.827	1.000
akciya belgili sharayatlarda óz	97	1	1	57.827	1.000
akciya bul akcionerlik jámiyet	97	1	1	57.827	1.000
akciya bul háreket etiw	97	1	1	57.827	1.000
akciyalar emissiyası tómendegi jaǵdaylarda	97	1	1	57.827	1.000
akciyalar jámiyettiń ustavı menen	97	1	1	57.827	1.000
akciyalar muǵdarı sheginde ǵana	97	1	1	57.827	1.000
akciyalar paketi bolǵanda qosımsha	97	1	1	57.827	1.000
akciyalardı artıqmashlı satıp alıw	97	1	1	57.827	1.000
akciyalardı bólsheklewge ruqsat etilgen	97	1	1	57.827	1.000
akciyalardı jámiyetke qaytarmaw huqıqına	97	1	1	57.827	1.000
akciyalardı shıǵarıw jolı menen	97	1	1	57.827	1.000
akciyalardıń bir bólegin jámiyet	97	1	1	57.827	1.000
akciyalardıń bir bólegin satıp	97	1	1	57.827	1.000
akciyalardıń hám bul túrdegi	97	1	1	57.827	1.000
akciyalardıń hár tipiniń muǵdarı	97	1	1	57.827	1.000
akciyalardıń hárbiri akciyalardıń kóp	97	1	1	57.827	1.000
akciyalardıń kóp sanına bólingen	97	1	1	57.827	1.000
akciyalardıń muǵdarı úlesi sheginde	97	1	1	57.827	1.000
akciyalardıń nominal bahası bir	97	1	1	57.827	1.000
akciyalardıń nominal bahasın azaytıw	97	1	1	57.827	1.000
akciyalarınıń nominal bahasınan quraladı	97	1	1	57.827	1.000
akciyanıń kóplegen iyeleri almassa	97	1	1	57.827	1.000
akespe den m tereńlikten	97	1	1	57.827	1.000
akstafa qarataw sumgait gaz	97	1	1	57.827	1.000
aktivler investiciyalar materiallar shet	97	1	1	57.827	1.000
aktivler olardı satıp alıw	97	1	1	57.827	1.000
aktivligi menen hámme nárselerge	97	1	1	57.827	1.000
aktsionerlik jámiyettiń pútkil ómir	97	1	1	57.827	1.000
aktsiyalardı shıǵarıw bul resurslardı	97	1	1	57.827	1.000
aktsiyanı emitentke qaytarıw iyelew	97	1	1	57.827	1.000
akula tisi qaldıǵı tabıldı	97	1	1	57.827	1.000
al alisher nawayı bolsa	97	1	1	57.827	1.000
al atası jaman qandaydı	97	1	1	57.827	1.000
al awız eki rus	97	1	1	57.827	1.000
al bir bólegi bolsa	97	1	1	57.827	1.000
al boranbaydıń ǵarǵabay degen	97	1	1	57.827	1.000
al burınǵı ǵarrılar aqlıqların	97	1	1	57.827	1.000
al duzlı jerlerinde ts	97	1	1	57.827	1.000
al dástanlardan bolsa parsı	97	1	1	57.827	1.000
al ekinshi kemede shevchenkonıń	97	1	1	57.827	1.000
al eni km di	97	1	1	57.827	1.000
al farxad obrazı bolsa	97	1	1	57.827	1.000
al házirgi zamanımızda olardıń	97	1	1	57.827	1.000
al iskender zulqarnayın obrazı	97	1	1	57.827	1.000
al i̇nv kútip turıwshılıq	97	1	1	57.827	1.000
al jabıq akcionerlik jámiyet	97	1	1	57.827	1.000
al joqarı bóliminde ml	97	1	1	57.827	1.000
al jılı gollandlı nikolay	97	1	1	57.827	1.000
al jılı xafizi abduda	97	1	1	57.827	1.000
al keyin ala teńizdiń	97	1	1	57.827	1.000
al logikalıq izbe izlik	97	1	1	57.827	1.000
al mal múlkti ózińe	97	1	1	57.827	1.000
al meńesh te óz	97	1	1	57.827	1.000
al mos rejissyor a	97	1	1	57.827	1.000
al pútkil orta shıǵıs	97	1	1	57.827	1.000
al qalǵan bólimi evropada	97	1	1	57.827	1.000
al qazaqstannıń qızıl orda	97	1	1	57.827	1.000
al qubla afrika mámleketi	97	1	1	57.827	1.000
al qubla aralda balıq	97	1	1	57.827	1.000
al quwan dárya jıldan	97	1	1	57.827	1.000
al sońınan bolsa qardaralı	97	1	1	57.827	1.000
al sırdáryanı yaskart dep	97	1	1	57.827	1.000
al teńizdiń kólemi metrge	97	1	1	57.827	1.000
al ti hár qıylı	97	1	1	57.827	1.000
al tirishiliktiń tábiyatına tikkeley	97	1	1	57.827	1.000
al topographic map of	97	1	1	57.827	1.000
al torǵay dáryası aralǵa	97	1	1	57.827	1.000
al turanda tuwılǵan onıń	97	1	1	57.827	1.000
al tábiyat bul adamdı	97	1	1	57.827	1.000
al túp tiykarǵı metafizikalıq	97	1	1	57.827	1.000
al túrk tilles xalıqlar	97	1	1	57.827	1.000
al ámiwdárya muzlı qarlı	97	1	1	57.827	1.000
al óziniń atınıń axmed	97	1	1	57.827	1.000
ala antarktika huqıqıy jaǵdayın	97	1	1	57.827	1.000
ala basladı hám jıllardaǵı	97	1	1	57.827	1.000
ala budda bolıp ataladı	97	1	1	57.827	1.000
ala qayıs at minse	97	1	1	57.827	1.000
ala tawda eń biyik	97	1	1	57.827	1.000
ala teńizdiń tolısıwı menen	97	1	1	57.827	1.000
ala ázerbayjan dramaturglarınıń góruǵlı	97	1	1	57.827	1.000
ala ótew jolı menen	97	1	1	57.827	1.000
aladı advokatlar kollegiyasınıń xızmetkerleri	97	1	1	57.827	1.000
aladı advokatura funkciyaları advokaturanıń	97	1	1	57.827	1.000
aladı arxitekturası ázerbayjan aymaǵında	97	1	1	57.827	1.000
aladı aziya mámleketleri mámleket	97	1	1	57.827	1.000
aladı bahalı qaǵaz ózin	97	1	1	57.827	1.000
aladı biraq anasınıń tosattan	97	1	1	57.827	1.000
aladı birinshi bólimde iran	97	1	1	57.827	1.000
aladı bul shıǵarma tchaikovsky	97	1	1	57.827	1.000
aladı bul zardushtıylıq dini	97	1	1	57.827	1.000
aladı i̇men mektebi haqıyqatlıqtıń	97	1	1	57.827	1.000
aladı jámiy putin kúsh	97	1	1	57.827	1.000
aladı muhammed fizuliy shıǵarmaları	97	1	1	57.827	1.000
aladı onıń pikiri boyınsha	97	1	1	57.827	1.000
aladı radjasa umtılıw tamasa	97	1	1	57.827	1.000
aladı shayır bul haqqında	97	1	1	57.827	1.000
aladı shayırdıń ózinshe pikirler	97	1	1	57.827	1.000
aladı yoga psixologiyalıq kategoriyalardı	97	1	1	57.827	1.000
alamız buǵan mısalı sezimlik	97	1	1	57.827	1.000
alatuǵın tilge aylandırdı onıń	97	1	1	57.827	1.000
alayıq qolayǵa keltirgen pıshıq	97	1	1	57.827	1.000
albaniya dep ataldı qarańız	97	1	1	57.827	1.000
albaniya házirgi ázerbayjan da	97	1	1	57.827	1.000
albaniyası ázerbayjandı basqınshılar kóp	97	1	1	57.827	1.000
albanlar tariyxıy rawajlanıw dawamında	97	1	1	57.827	1.000
albert einstein albert eynshteyn	97	1	1	57.827	1.000
albert eynshteyn jıl mart	97	1	1	57.827	1.000
albert katolik mektebinde oqıǵan	97	1	1	57.827	1.000
