Type;POS;Headword;Rank;Freq;Range;NormFreq;NormRange
on?;;;71;23;1;1329.787;1.000
ul?;;;71;23;1;1329.787;1.000
al?p;;;77;21;1;1214.154;1.000
etip;;;77;21;1;1214.154;1.000
ja?a;;;77;21;1;1214.154;1.000
q?z;;;77;21;1;1214.154;1.000
tili;;;77;21;1;1214.154;1.000
a;;;82;20;1;1156.337;1.000
birge;;;82;20;1;1156.337;1.000
jaylasqan;;;82;20;1;1156.337;1.000
jerde;;;82;20;1;1156.337;1.000
j?d?;;;82;20;1;1156.337;1.000
k?plegen;;;82;20;1;1156.337;1.000
orta;;;82;20;1;1156.337;1.000
pushkin;;;82;20;1;1156.337;1.000
qos?qlar?;;;82;20;1;1156.337;1.000
suw;;;82;20;1;1156.337;1.000
s?z;;;82;20;1;1156.337;1.000
xix;;;82;20;1;1156.337;1.000
beredi;;;94;19;1;1098.520;1.000
e;;;94;19;1;1098.520;1.000
xalq?n??;;;94;19;1;1098.520;1.000
?sirdi?;;;94;19;1;1098.520;1.000
arqal?;;;98;18;1;1040.703;1.000
d?nya;;;98;18;1;1040.703;1.000
km;;;98;18;1;1040.703;1.000
olard??;;;98;18;1;1040.703;1.000
te?izi;;;98;18;1;1040.703;1.000
ull?;;;98;18;1;1040.703;1.000
?sirde;;;98;18;1;1040.703;1.000
alad?;;;105;17;1;982.886;1.000
bunnan;;;105;17;1;982.886;1.000
jaz?p;;;105;17;1;982.886;1.000
sh??armalar?;;;105;17;1;982.886;1.000
tek;;;105;17;1;982.886;1.000
tiyisli;;;105;17;1;982.886;1.000
tiykar??;;;105;17;1;982.886;1.000
turad?;;;105;17;1;982.886;1.000
ustavl?q;;;105;17;1;982.886;1.000
?jiniyazd??;;;105;17;1;982.886;1.000
?sir;;;105;17;1;982.886;1.000
?sirlerde;;;105;17;1;982.886;1.000
ay;;;117;16;1;925.069;1.000
j?llar?;;;117;16;1;925.069;1.000
m?mkin;;;117;16;1;925.069;1.000
qubla;;;117;16;1;925.069;1.000
q?yl?;;;117;16;1;925.069;1.000
sh;;;117;16;1;925.069;1.000
shay?r?;;;117;16;1;925.069;1.000
shekem;;;117;16;1;925.069;1.000
t;;;117;16;1;925.069;1.000
ul?wma;;;117;16;1;925.069;1.000
?kesi;;;117;16;1;925.069;1.000
?sh;;;117;16;1;925.069;1.000
abay;;;129;15;1;867.253;1.000
al?w;;;129;15;1;867.253;1.000
jasayd?;;;129;15;1;867.253;1.000
jer;;;129;15;1;867.253;1.000
qazaq;;;129;15;1;867.253;1.000
solay;;;129;15;1;867.253;1.000
tilinde;;;129;15;1;867.253;1.000
adamlar;;;136;14;1;809.436;1.000
al?n?an;;;136;14;1;809.436;1.000
at?;;;136;14;1;809.436;1.000
barl?q;;;136;14;1;809.436;1.000
etedi;;;136;14;1;809.436;1.000
ishinde;;;136;14;1;809.436;1.000
jaz?l?an;;;136;14;1;809.436;1.000
jol?;;;136;14;1;809.436;1.000
kategoriya;;;136;14;1;809.436;1.000
kelip;;;136;14;1;809.436;1.000
m?mleketlik;;;136;14;1;809.436;1.000
nizamiy;;;136;14;1;809.436;1.000
qos?qlar;;;136;14;1;809.436;1.000
tiykar?nan;;;136;14;1;809.436;1.000
ya?n?y;;;136;14;1;809.436;1.000
?zine;;;136;14;1;809.436;1.000
ash?q;;;152;13;1;751.619;1.000
az;;;152;13;1;751.619;1.000
bahal?;;;152;13;1;751.619;1.000
baku;;;152;13;1;751.619;1.000
bet;;;152;13;1;751.619;1.000
ekenligin;;;152;13;1;751.619;1.000
hesh;;;152;13;1;751.619;1.000
ibarat;;;152;13;1;751.619;1.000
ilimiy;;;152;13;1;751.619;1.000
iran;;;152;13;1;751.619;1.000
jaman;;;152;13;1;751.619;1.000
jaq?n;;;152;13;1;751.619;1.000
joqar?;;;152;13;1;751.619;1.000
keledi;;;152;13;1;751.619;1.000
k?rnekli;;;152;13;1;751.619;1.000
m??;;;152;13;1;751.619;1.000
n;;;152;13;1;751.619;1.000
patsha;;;152;13;1;751.619;1.000
qara;;;152;13;1;751.619;1.000
qara?anda;;;152;13;1;751.619;1.000
qos?q;;;152;13;1;751.619;1.000
sebebi;;;152;13;1;751.619;1.000
s?pat?nda;;;152;13;1;751.619;1.000
tiykar?nda;;;152;13;1;751.619;1.000
?miwd?rya;;;152;13;1;751.619;1.000
?zbek;;;152;13;1;751.619;1.000
alisher;;;178;12;1;693.802;1.000
antarktika;;;178;12;1;693.802;1.000
at?nda??;;;178;12;1;693.802;1.000
ayt?s;;;178;12;1;693.802;1.000
baylan?sl?;;;178;12;1;693.802;1.000
ekinshi;;;178;12;1;693.802;1.000
haqq?nda??;;;178;12;1;693.802;1.000
joq;;;178;12;1;693.802;1.000
j?miyet;;;178;12;1;693.802;1.000
me?esh;;;178;12;1;693.802;1.000
qanday;;;178;12;1;693.802;1.000
rayon?;;;178;12;1;693.802;1.000
s;;;178;12;1;693.802;1.000
shay?rlar;;;178;12;1;693.802;1.000
tariyx?y;;;178;12;1;693.802;1.000
waq?tta;;;178;12;1;693.802;1.000
xx;;;178;12;1;693.802;1.000
?zi;;;178;12;1;693.802;1.000
akciyalard??;;;196;11;1;635.985;1.000
arqa;;;196;11;1;635.985;1.000
aytad?;;;196;11;1;635.985;1.000
biologiya;;;196;11;1;635.985;1.000
d?stan?;;;196;11;1;635.985;1.000
etken;;;196;11;1;635.985;1.000
islep;;;196;11;1;635.985;1.000
jasa?an;;;196;11;1;635.985;1.000
ja??nan;;;196;11;1;635.985;1.000
juwap;;;196;11;1;635.985;1.000
j?rdem;;;196;11;1;635.985;1.000
m?mleket;;;196;11;1;635.985;1.000
neshe;;;196;11;1;635.985;1.000
n?siyat;;;196;11;1;635.985;1.000
pars?;;;196;11;1;635.985;1.000
qayt?s;;;196;11;1;635.985;1.000
sat?p;;;196;11;1;635.985;1.000
sonday;;;196;11;1;635.985;1.000
teatr?;;;196;11;1;635.985;1.000
tiri;;;196;11;1;635.985;1.000
t?n;;;196;11;1;635.985;1.000
t?rk;;;196;11;1;635.985;1.000
xal?qlar;;;196;11;1;635.985;1.000
?debiyat;;;196;11;1;635.985;1.000
?dewir;;;196;11;1;635.985;1.000
atal?an;;;221;10;1;578.168;1.000
atas?;;;221;10;1;578.168;1.000
aziya;;;221;10;1;578.168;1.000
balas?;;;221;10;1;578.168;1.000
bal?q;;;221;10;1;578.168;1.000
basqalar;;;221;10;1;578.168;1.000
benen;;;221;10;1;578.168;1.000
dawam?nda;;;221;10;1;578.168;1.000
einstein;;;221;10;1;578.168;1.000
h;;;221;10;1;578.168;1.000
j?miy;;;221;10;1;578.168;1.000
kelgen;;;221;10;1;578.168;1.000
kiredi;;;221;10;1;578.168;1.000
k?pshilik;;;221;10;1;578.168;1.000
m?sal?;;;221;10;1;578.168;1.000
naway?n??;;;221;10;1;578.168;1.000
neft;;;221;10;1;578.168;1.000
n?kis;;;221;10;1;578.168;1.000
o?an;;;221;10;1;578.168;1.000
qab?l;;;221;10;1;578.168;1.000
qalas?nda;;;221;10;1;578.168;1.000
qal?an;;;221;10;1;578.168;1.000
qatar;;;221;10;1;578.168;1.000
qos?bay;;;221;10;1;578.168;1.000
q?z?;;;221;10;1;578.168;1.000
rejissyor;;;221;10;1;578.168;1.000
respublikas?;;;221;10;1;578.168;1.000
r?stem;;;221;10;1;578.168;1.000
tab?lad?;;;221;10;1;578.168;1.000
us?nday;;;221;10;1;578.168;1.000
xal?qaral?q;;;221;10;1;578.168;1.000
?tti;;;221;10;1;578.168;1.000
adamlard??;;;253;9;1;520.352;1.000
al?an;;;253;9;1;520.352;1.000
ash?p;;;253;9;1;520.352;1.000
atl?;;;253;9;1;520.352;1.000
aw?zeki;;;253;9;1;520.352;1.000
ayapbergen;;;253;9;1;520.352;1.000
ayr?qsha;;;253;9;1;520.352;1.000
balalar;;;253;9;1;520.352;1.000
baslanad?;;;253;9;1;520.352;1.000
baslayd?;;;253;9;1;520.352;1.000
bas?nda;;;253;9;1;520.352;1.000
bas?p;;;253;9;1;520.352;1.000
etiw;;;253;9;1;520.352;1.000
h?reket;;;253;9;1;520.352;1.000
iri;;;253;9;1;520.352;1.000
jas;;;253;9;1;520.352;1.000
jazad?;;;253;9;1;520.352;1.000
jeti;;;253;9;1;520.352;1.000
kerek;;;253;9;1;520.352;1.000
ketedi;;;253;9;1;520.352;1.000
k?rsetedi;;;253;9;1;520.352;1.000
k?n;;;253;9;1;520.352;1.000
muz?ka;;;253;9;1;520.352;1.000
m?deniy;;;253;9;1;520.352;1.000
m?rtebe;;;253;9;1;520.352;1.000
ne;;;253;9;1;520.352;1.000
okean?;;;253;9;1;520.352;1.000
p?tkil;;;253;9;1;520.352;1.000
qol;;;253;9;1;520.352;1.000
qos?msha;;;253;9;1;520.352;1.000
qos?qlar?n??;;;253;9;1;520.352;1.000
qurayd?;;;253;9;1;520.352;1.000
rossiya;;;253;9;1;520.352;1.000
shekemgi;;;253;9;1;520.352;1.000
sh?qqan;;;253;9;1;520.352;1.000
sh??armalar;;;253;9;1;520.352;1.000
sh???s;;;253;9;1;520.352;1.000
so??nan;;;253;9;1;520.352;1.000
te?iz;;;253;9;1;520.352;1.000
t?rt;;;253;9;1;520.352;1.000
xamsa;;;253;9;1;520.352;1.000
?debiyat?n??;;;253;9;1;520.352;1.000
?sirese;;;253;9;1;520.352;1.000
?mir;;;253;9;1;520.352;1.000
adamn??;;;297;8;1;462.535;1.000
afrika;;;297;8;1;462.535;1.000
akcionerlik;;;297;8;1;462.535;1.000
ala;;;297;8;1;462.535;1.000
atalad?;;;297;8;1;462.535;1.000
aw?l;;;297;8;1;462.535;1.000
axmed;;;297;8;1;462.535;1.000
ayt?p;;;297;8;1;462.535;1.000
ayt?st??;;;297;8;1;462.535;1.000
bunda;;;297;8;1;462.535;1.000
bunday;;;297;8;1;462.535;1.000
dawam;;;297;8;1;462.535;1.000
eger;;;297;8;1;462.535;1.000
eski;;;297;8;1;462.535;1.000
evropa;;;297;8;1;462.535;1.000
fizuliy;;;297;8;1;462.535;1.000
huq?q?y;;;297;8;1;462.535;1.000
i;;;297;8;1;462.535;1.000
ishine;;;297;8;1;462.535;1.000
iskender;;;297;8;1;462.535;1.000
jazba;;;297;8;1;462.535;1.000
jigit;;;297;8;1;462.535;1.000
j?z;;;297;8;1;462.535;1.000
j?ldan;;;297;8;1;462.535;1.000
j?l?a;;;297;8;1;462.535;1.000
kavkaz;;;297;8;1;462.535;1.000
keyingi;;;297;8;1;462.535;1.000
ke?;;;297;8;1;462.535;1.000
kitab?;;;297;8;1;462.535;1.000
materiall?q;;;297;8;1;462.535;1.000
materik;;;297;8;1;462.535;1.000
muwsa;;;297;8;1;462.535;1.000
m?lim;;;297;8;1;462.535;1.000
on;;;297;8;1;462.535;1.000
q;;;297;8;1;462.535;1.000
qatarda;;;297;8;1;462.535;1.000
qazaqstan;;;297;8;1;462.535;1.000
retinde;;;297;8;1;462.535;1.000
sh??armalar?n;;;297;8;1;462.535;1.000
sh??ar?w;;;297;8;1;462.535;1.000
so???;;;297;8;1;462.535;1.000
teatr;;;297;8;1;462.535;1.000
te?izdi?;;;297;8;1;462.535;1.000
tilini?;;;297;8;1;462.535;1.000
tol?q;;;297;8;1;462.535;1.000
u;;;297;8;1;462.535;1.000
ush?nda;;;297;8;1;462.535;1.000
variant?;;;297;8;1;462.535;1.000
xalq?;;;297;8;1;462.535;1.000
yugnakiy;;;297;8;1;462.535;1.000
?jay?p;;;297;8;1;462.535;1.000
akcionerlerdi?;;;348;7;1;404.718;1.000
akciyalard?;;;348;7;1;404.718;1.000
ald?na;;;348;7;1;404.718;1.000
ald?nda;;;348;7;1;404.718;1.000
alpam?s;;;348;7;1;404.718;1.000
apsheron;;;348;7;1;404.718;1.000
aq?l;;;348;7;1;404.718;1.000
atap;;;348;7;1;404.718;1.000
bala;;;348;7;1;404.718;1.000
baqs?;;;348;7;1;404.718;1.000
bar?p;;;348;7;1;404.718;1.000
baslad?;;;348;7;1;404.718;1.000
basla?an;;;348;7;1;404.718;1.000
belgilengen;;;348;7;1;404.718;1.000
berdaqt??;;;348;7;1;404.718;1.000
birden;;;348;7;1;404.718;1.000
bol?an?;;;348;7;1;404.718;1.000
bur?n;;;348;7;1;404.718;1.000
b?legi;;;348;7;1;404.718;1.000
b?limi;;;348;7;1;404.718;1.000
den;;;348;7;1;404.718;1.000
dur?s;;;348;7;1;404.718;1.000
d?slepki;;;348;7;1;404.718;1.000
d?stan;;;348;7;1;404.718;1.000
eram?z?a;;;348;7;1;404.718;1.000
etiledi;;;348;7;1;404.718;1.000
hawa;;;348;7;1;404.718;1.000
h?yiw;;;348;7;1;404.718;1.000
ilim;;;348;7;1;404.718;1.000
jas?nda;;;348;7;1;404.718;1.000
jaw?n;;;348;7;1;404.718;1.000
ja?dayda;;;348;7;1;404.718;1.000
jerlerde;;;348;7;1;404.718;1.000
j?ne;;;348;7;1;404.718;1.000
j?llar;;;348;7;1;404.718;1.000
j?rawdan;;;348;7;1;404.718;1.000
kaspiy;;;348;7;1;404.718;1.000
keldi;;;348;7;1;404.718;1.000
ketken;;;348;7;1;404.718;1.000
keyinirek;;;348;7;1;404.718;1.000
kishkene;;;348;7;1;404.718;1.000
kub;;;348;7;1;404.718;1.000
k?birek;;;348;7;1;404.718;1.000
k?zge;;;348;7;1;404.718;1.000
milliy;;;348;7;1;404.718;1.000
mingechaur;;;348;7;1;404.718;1.000
molla;;;348;7;1;404.718;1.000
m?mleketler;;;348;7;1;404.718;1.000
m?selen;;;348;7;1;404.718;1.000
n?jep;;;348;7;1;404.718;1.000
olard?;;;348;7;1;404.718;1.000
onnan;;;348;7;1;404.718;1.000
o?ada;;;348;7;1;404.718;1.000
pushkinni?;;;348;7;1;404.718;1.000
qalad?;;;348;7;1;404.718;1.000
qay;;;348;7;1;404.718;1.000
qayt?p;;;348;7;1;404.718;1.000
qazaqstanda;;;348;7;1;404.718;1.000
qa?az;;;348;7;1;404.718;1.000
qos?qlar?n;;;348;7;1;404.718;1.000
qur?aq;;;348;7;1;404.718;1.000
q?tay;;;348;7;1;404.718;1.000
rawajlan?an;;;348;7;1;404.718;1.000
sheshim;;;348;7;1;404.718;1.000
sh??ar?l?an;;;348;7;1;404.718;1.000
sotsiall?q;;;348;7;1;404.718;1.000
talantl?;;;348;7;1;404.718;1.000
tap;;;348;7;1;404.718;1.000
tariyx?nda;;;348;7;1;404.718;1.000
te?izine;;;348;7;1;404.718;1.000
tur?an;;;348;7;1;404.718;1.000
tuw?l?an;;;348;7;1;404.718;1.000
t?jik;;;348;7;1;404.718;1.000
t?sir;;;348;7;1;404.718;1.000
t?ri;;;348;7;1;404.718;1.000
t?sqar?;;;348;7;1;404.718;1.000
vi;;;348;7;1;404.718;1.000
waq?tlar?;;;348;7;1;404.718;1.000
?debiyat?;;;348;7;1;404.718;1.000
?dette;;;348;7;1;404.718;1.000
?hmiyetli;;;348;7;1;404.718;1.000
?sirdegi;;;348;7;1;404.718;1.000
?miri;;;348;7;1;404.718;1.000
?shinshi;;;348;7;1;404.718;1.000
adamlar?;;;432;6;1;346.901;1.000
akademiyas?;;;432;6;1;346.901;1.000
arnal?an;;;432;6;1;346.901;1.000
at;;;432;6;1;346.901;1.000
ata;;;432;6;1;346.901;1.000
ata?an;;;432;6;1;346.901;1.000
avesto;;;432;6;1;346.901;1.000
ayt?s?;;;432;6;1;346.901;1.000
ay?r?m;;;432;6;1;346.901;1.000
a??zlar;;;432;6;1;346.901;1.000
bahalaw;;;432;6;1;346.901;1.000
bakteriya;;;432;6;1;346.901;1.000
bakteriyalar;;;432;6;1;346.901;1.000
bakuda;;;432;6;1;346.901;1.000
balan??;;;432;6;1;346.901;1.000
baylan?sta;;;432;6;1;346.901;1.000
bes;;;432;6;1;346.901;1.000
bola;;;432;6;1;346.901;1.000
bolsada;;;432;6;1;346.901;1.000
bun??;;;432;6;1;346.901;1.000
bu?an;;;432;6;1;346.901;1.000
b?lay;;;432;6;1;346.901;1.000
diniy;;;432;6;1;346.901;1.000
d?slep;;;432;6;1;346.901;1.000
d?wirde;;;432;6;1;346.901;1.000
d?nya?a;;;432;6;1;346.901;1.000
d?zildi;;;432;6;1;346.901;1.000
el;;;432;6;1;346.901;1.000
etti;;;432;6;1;346.901;1.000
f;;;432;6;1;346.901;1.000
ferdawsiy;;;432;6;1;346.901;1.000
filosofiyal?q;;;432;6;1;346.901;1.000
g;;;432;6;1;346.901;1.000
haywanlar;;;432;6;1;346.901;1.000
hind;;;432;6;1;346.901;1.000
iyeleydi;;;432;6;1;346.901;1.000
jaqs?raq;;;432;6;1;346.901;1.000
jeke;;;432;6;1;346.901;1.000
jol;;;432;6;1;346.901;1.000
ketti;;;432;6;1;346.901;1.000
kisi;;;432;6;1;346.901;1.000
kletkal?lar;;;432;6;1;346.901;1.000
kura;;;432;6;1;346.901;1.000
k?beytiw;;;432;6;1;346.901;1.000
k?z;;;432;6;1;346.901;1.000
l?yli;;;432;6;1;346.901;1.000
marafon;;;432;6;1;346.901;1.000
mazmun?;;;432;6;1;346.901;1.000
ma?l?wmatlar;;;432;6;1;346.901;1.000
mektebi;;;432;6;1;346.901;1.000
mektep;;;432;6;1;346.901;1.000
miynet;;;432;6;1;346.901;1.000
n?zerde;;;432;6;1;346.901;1.000
qalas?;;;432;6;1;346.901;1.000
qald?;;;432;6;1;346.901;1.000
qars?;;;432;6;1;346.901;1.000
q?y?n;;;432;6;1;346.901;1.000
q?z?l;;;432;6;1;346.901;1.000
r;;;432;6;1;346.901;1.000
rawajlan?w?na;;;432;6;1;346.901;1.000
sanaat?;;;432;6;1;346.901;1.000
sebepli;;;432;6;1;346.901;1.000
shaxnama;;;432;6;1;346.901;1.000
shay?rlard??;;;432;6;1;346.901;1.000
sh??ad?;;;432;6;1;346.901;1.000
sh??arma;;;432;6;1;346.901;1.000
tiline;;;432;6;1;346.901;1.000
ts;;;432;6;1;346.901;1.000
tuwral?;;;432;6;1;346.901;1.000
t?rkiy;;;432;6;1;346.901;1.000
t?rli;;;432;6;1;346.901;1.000
v;;;432;6;1;346.901;1.000
waq?t;;;432;6;1;346.901;1.000
waq?tta??;;;432;6;1;346.901;1.000
yaki;;;432;6;1;346.901;1.000
yar?m;;;432;6;1;346.901;1.000
?debiyat?nda;;;432;6;1;346.901;1.000
?lbent;;;432;6;1;346.901;1.000
?lbette;;;432;6;1;346.901;1.000
?piway?;;;432;6;1;346.901;1.000
?sirler;;;432;6;1;346.901;1.000
?ner;;;432;6;1;346.901;1.000
?zgerisler;;;432;6;1;346.901;1.000
?les;;;432;6;1;346.901;1.000
?ar?abayd??;;;432;6;1;346.901;1.000
adamd?;;;517;5;1;289.084;1.000
akciya;;;517;5;1;289.084;1.000
ald?;;;517;5;1;289.084;1.000
ald?n;;;517;5;1;289.084;1.000
anas?;;;517;5;1;289.084;1.000
antarktikan??;;;517;5;1;289.084;1.000
an?q;;;517;5;1;289.084;1.000
aq?r?;;;517;5;1;289.084;1.000
arake;;;517;5;1;289.084;1.000
aras?nan;;;517;5;1;289.084;1.000
aras?nda??;;;517;5;1;289.084;1.000
art?q;;;517;5;1;289.084;1.000
ashar;;;517;5;1;289.084;1.000
ashard??;;;517;5;1;289.084;1.000
ash?ld?;;;517;5;1;289.084;1.000
ayt?lad?;;;517;5;1;289.084;1.000
ayt?sta;;;517;5;1;289.084;1.000
azayt?w;;;517;5;1;289.084;1.000
bahas?n;;;517;5;1;289.084;1.000
baslar?nda;;;517;5;1;289.084;1.000
beretu??n;;;517;5;1;289.084;1.000
bergen;;;517;5;1;289.084;1.000
besik;;;517;5;1;289.084;1.000
bilim;;;517;5;1;289.084;1.000
bolma?an;;;517;5;1;289.084;1.000
derlik;;;517;5;1;289.084;1.000
dini;;;517;5;1;289.084;1.000
dost?;;;517;5;1;289.084;1.000
d?rya;;;517;5;1;289.084;1.000
d?wirinde;;;517;5;1;289.084;1.000
d?retiwshiligi;;;517;5;1;289.084;1.000
d?retiwshilik;;;517;5;1;289.084;1.000
d?nyan??;;;517;5;1;289.084;1.000
ekonomikal?q;;;517;5;1;289.084;1.000
er;;;517;5;1;289.084;1.000
evrey;;;517;5;1;289.084;1.000
filosofiyas?;;;517;5;1;289.084;1.000
ga;;;517;5;1;289.084;1.000
ganjaviy;;;517;5;1;289.084;1.000
gaz;;;517;5;1;289.084;1.000
geyde;;;517;5;1;289.084;1.000
haywanlard??;;;517;5;1;289.084;1.000
hindistan;;;517;5;1;289.084;1.000
h?kimet;;;517;5;1;289.084;1.000
islam;;;517;5;1;289.084;1.000
j;;;517;5;1;289.084;1.000
jasaw;;;517;5;1;289.084;1.000
jaz?w;;;517;5;1;289.084;1.000
ja?daylar;;;517;5;1;289.084;1.000
jep;;;517;5;1;289.084;1.000
jetim;;;517;5;1;289.084;1.000
jetip;;;517;5;1;289.084;1.000
jum?s;;;517;5;1;289.084;1.000
j?miyetlik;;;517;5;1;289.084;1.000
j?zege;;;517;5;1;289.084;1.000
kapitald?;;;517;5;1;289.084;1.000
kem;;;517;5;1;289.084;1.000
ke?esi;;;517;5;1;289.084;1.000
k?rip;;;517;5;1;289.084;1.000
k?nde;;;517;5;1;289.084;1.000
k?shli;;;517;5;1;289.084;1.000
materiya;;;517;5;1;289.084;1.000
medicina;;;517;5;1;289.084;1.000
mektepte;;;517;5;1;289.084;1.000
minez;;;517;5;1;289.084;1.000
mln;;;517;5;1;289.084;1.000
moynaq;;;517;5;1;289.084;1.000
m?deniyat;;;517;5;1;289.084;1.000
m?deniyat?;;;517;5;1;289.084;1.000
m?jb?r;;;517;5;1;289.084;1.000
m?mleketi;;;517;5;1;289.084;1.000
naxichevan;;;517;5;1;289.084;1.000
nominal;;;517;5;1;289.084;1.000
noyabr;;;517;5;1;289.084;1.000
onda;;;517;5;1;289.084;1.000
oq?p;;;517;5;1;289.084;1.000
oq?w;;;517;5;1;289.084;1.000
organizmler;;;517;5;1;289.084;1.000
ortasha;;;517;5;1;289.084;1.000
partiyas?;;;517;5;1;289.084;1.000
pedagogikal?q;;;517;5;1;289.084;1.000
poemalar?;;;517;5;1;289.084;1.000
poemas?;;;517;5;1;289.084;1.000
p?tkilley;;;517;5;1;289.084;1.000
qala;;;517;5;1;289.084;1.000
qald?r?an;;;517;5;1;289.084;1.000
qaraqalpaqstan;;;517;5;1;289.084;1.000
qayta;;;517;5;1;289.084;1.000
qos???nda;;;517;5;1;289.084;1.000
qo??rat;;;517;5;1;289.084;1.000
qunanbay;;;517;5;1;289.084;1.000
q?lad?;;;517;5;1;289.084;1.000
q?r?a;;;517;5;1;289.084;1.000
q?z?na;;;517;5;1;289.084;1.000
rawajland?;;;517;5;1;289.084;1.000
rawajlan?w;;;517;5;1;289.084;1.000
rawajlan?w?;;;517;5;1;289.084;1.000
ret;;;517;5;1;289.084;1.000
ruqsat;;;517;5;1;289.084;1.000
saxara;;;517;5;1;289.084;1.000
saz;;;517;5;1;289.084;1.000
sh??arad?;;;517;5;1;289.084;1.000
sh??armalar?nda;;;517;5;1;289.084;1.000
siyasiy;;;517;5;1;289.084;1.000
sonda;;;517;5;1;289.084;1.000
sumgait;;;517;5;1;289.084;1.000
s?zlerdi;;;517;5;1;289.084;1.000
s?wretlengen;;;517;5;1;289.084;1.000
tabriziy;;;517;5;1;289.084;1.000
tariyx?n;;;517;5;1;289.084;1.000
tere?;;;517;5;1;289.084;1.000
tilge;;;517;5;1;289.084;1.000
tiyis;;;517;5;1;289.084;1.000
tur?p;;;517;5;1;289.084;1.000
tut?l?an;;;517;5;1;289.084;1.000
tuw?sqan;;;517;5;1;289.084;1.000
t?siri;;;517;5;1;289.084;1.000
t?rki;;;517;5;1;289.084;1.000
t?ser;;;517;5;1;289.084;1.000
t?sip;;;517;5;1;289.084;1.000
vedal?q;;;517;5;1;289.084;1.000
waq?ya;;;517;5;1;289.084;1.000
xii;;;517;5;1;289.084;1.000
xiratqa;;;517;5;1;289.084;1.000
xojal?q;;;517;5;1;289.084;1.000
x?zmet;;;517;5;1;289.084;1.000
?debiy;;;517;5;1;289.084;1.000
?sirden;;;517;5;1;289.084;1.000
?zerbayjanda;;;517;5;1;289.084;1.000
?neri;;;517;5;1;289.084;1.000
?sken;;;517;5;1;289.084;1.000
?zbekstan;;;517;5;1;289.084;1.000
?ylenedi;;;517;5;1;289.084;1.000
?lay?q;;;517;5;1;289.084;1.000
?ar?abay;;;517;5;1;289.084;1.000
akciyalar;;;652;4;1;231.267;1.000
aleksandr;;;652;4;1;231.267;1.000
alt?;;;652;4;1;231.267;1.000
